rep,bench,arm,ns_per_op,err,probe_off,probe_on
4,WalletAvailableCoins,pass_hoist,33745458.00,0.2,0.2257,0.8696
4,WalletCreateTxUseOnlyPresetInputs,pass_hoist,679970.83,0.2,0.2257,0.8696
4,WalletCreateTxUsePresetInputsAndCoinSelection,pass_hoist,16385361.00,1.6,0.2257,0.8696
4,CoinSelection,pass_gated,3203495.90,0.4,0.2257,0.8696
4,ComplexMemPool,pass_gated,34586583.00,1.3,0.2257,0.8696
4,ConnectBlockAllEcdsa,pass_gated,26975625.00,0.4,0.2257,0.8696
4,SignTransactionECDSA,pass_gated,62804.66,0.1,0.2257,0.8696
4,SignTransactionSchnorr,pass_gated,44342.01,0.1,0.2257,0.8696
4,TxGraphTrim,pass_gated,9467667.00,0.0,0.2257,0.8696
4,WalletAvailableCoins,pass_gated,24725042.00,0.1,0.2257,0.8696
4,WalletCreateTxUseOnlyPresetInputs,pass_gated,561750.86,0.1,0.2257,0.8696
4,WalletCreateTxUsePresetInputsAndCoinSelection,pass_gated,15792152.67,0.6,0.2257,0.8696
5,CoinSelection,baseline,3106245.90,0.2,0.2217,0.8700
5,ComplexMemPool,baseline,34712292.00,1.6,0.2217,0.8700
5,ConnectBlockAllEcdsa,baseline,26774792.00,0.3,0.2217,0.8700
5,SignTransactionECDSA,baseline,58601.67,0.1,0.2217,0.8700
5,SignTransactionSchnorr,baseline,42260.61,0.1,0.2217,0.8700
5,TxGraphTrim,baseline,9528875.00,0.0,0.2217,0.8700
5,WalletAvailableCoins,baseline,26293437.50,0.1,0.2217,0.8700
5,WalletCreateTxUseOnlyPresetInputs,baseline,530586.67,0.1,0.2217,0.8700
5,WalletCreateTxUsePresetInputsAndCoinSelection,baseline,15669361.00,0.5,0.2217,0.8700
5,CoinSelection,null,3112216.70,0.5,0.2217,0.8700
5,ComplexMemPool,null,34896083.00,2.0,0.2217,0.8700
5,ConnectBlockAllEcdsa,null,26808020.50,0.4,0.2217,0.8700
5,SignTransactionECDSA,null,56184.97,0.1,0.2217,0.8700
5,SignTransactionSchnorr,null,42401.43,0.0,0.2217,0.8700
5,TxGraphTrim,null,9289583.00,0.0,0.2217,0.8700
5,WalletAvailableCoins,null,25477667.00,0.0,0.2217,0.8700
5,WalletCreateTxUseOnlyPresetInputs,null,549977.45,0.1,0.2217,0.8700
5,WalletCreateTxUsePresetInputsAndCoinSelection,null,15552180.33,0.8,0.2217,0.8700
5,CoinSelection,always,3573900.00,0.1,0.2217,0.8700
5,ComplexMemPool,always,35769959.00,0.7,0.2217,0.8700
5,ConnectBlockAllEcdsa,always,26815937.50,0.3,0.2217,0.8700
