rep,bench,arm,ns_per_op,err_pct,probe_off,probe_on
5,ComplexMemPool,null,34353459.00,1.3,0.2254,0.8685
5,ConnectBlockAllEcdsa,null,26900208.50,0.1,0.2254,0.8685
5,DeserializeBlockTest,null,735132.74,0.1,0.2254,0.8685
5,MemPoolAddTransactions,null,67927042.00,0.7,0.2254,0.8685
5,SignTransactionECDSA,null,56084.72,0.0,0.2254,0.8685
5,SignTransactionSchnorr,null,43456.78,0.1,0.2254,0.8685
5,TxGraphTrim,null,9320625.00,0.0,0.2254,0.8685
5,WalletAvailableCoins,null,26186625.00,0.1,0.2254,0.8685
5,WalletCreateTxUsePresetInputsAndCoinSelection,null,15593416.67,0.3,0.2254,0.8685
5,CCoinsCaching,dit,157.34,0.4,0.2254,0.8685
5,CoinSelection,dit,3570800.00,0.4,0.2254,0.8685
5,ComplexMemPool,dit,35661000.00,1.2,0.2254,0.8685
5,ConnectBlockAllEcdsa,dit,27069187.50,0.8,0.2254,0.8685
5,DeserializeBlockTest,dit,740068.66,0.1,0.2254,0.8685
5,MemPoolAddTransactions,dit,69785875.00,0.4,0.2254,0.8685
5,SignTransactionECDSA,dit,61390.88,0.1,0.2254,0.8685
5,SignTransactionSchnorr,dit,44124.89,0.1,0.2254,0.8685
5,TxGraphTrim,dit,10113916.00,0.0,0.2254,0.8685
5,WalletAvailableCoins,dit,26544687.50,0.1,0.2254,0.8685
5,WalletCreateTxUsePresetInputsAndCoinSelection,dit,16112430.67,0.5,0.2254,0.8685
6,CCoinsCaching,null,164.73,3.3,0.2248,0.8692
6,CoinSelection,null,3215604.20,0.3,0.2248,0.8692
6,ComplexMemPool,null,34641167.00,1.8,0.2248,0.8692
6,ConnectBlockAllEcdsa,null,26913708.00,0.3,0.2248,0.8692
6,DeserializeBlockTest,null,741995.03,0.2,0.2248,0.8692
6,MemPoolAddTransactions,null,68501292.00,0.2,0.2248,0.8692
6,SignTransactionECDSA,null,56896.34,0.1,0.2248,0.8692
6,SignTransactionSchnorr,null,43379.37,0.1,0.2248,0.8692
6,TxGraphTrim,null,9226791.00,0.0,0.2248,0.8692
6,WalletAvailableCoins,null,26214896.00,0.1,0.2248,0.8692
6,WalletCreateTxUsePresetInputsAndCoinSelection,null,15682361.00,0.6,0.2248,0.8692
6,CCoinsCaching,dit,164.00,1.6,0.2248,0.8692
6,CoinSelection,dit,3558066.70,0.3,0.2248,0.8692
6,ComplexMemPool,dit,36085375.00,0.8,0.2248,0.8692
6,ConnectBlockAllEcdsa,dit,26909979.00,0.2,0.2248,0.8692
6,DeserializeBlockTest,dit,741880.71,0.3,0.2248,0.8692
6,MemPoolAddTransactions,dit,69665666.00,0.3,0.2248,0.8692
6,SignTransactionECDSA,dit,62555.42,0.1,0.2248,0.8692
6,SignTransactionSchnorr,dit,44217.65,0.0,0.2248,0.8692
6,TxGraphTrim,dit,10000583.00,0.0,0.2248,0.8692
6,WalletAvailableCoins,dit,27099854.00,0.1,0.2248,0.8692
6,WalletCreateTxUsePresetInputsAndCoinSelection,dit,16139194.33,1.8,0.2248,0.8692
6,CCoinsCaching,base,181.39,3.9,0.2248,0.8692
6,CoinSelection,base,3152475.00,0.4,0.2248,0.8692
6,ComplexMemPool,base,34518583.00,1.4,0.2248,0.8692
