rep,host,arm,total_s,secret_s,toggles,checksum
13,cpython,oracle,3.820032,0.000640,96,WORK cpython checksum 996236
13,cpython,pass_region,3.837756,0.000668,0,WORK cpython checksum 996236
13,cpython,pass_hoist,3.834594,0.000674,0,WORK cpython checksum 996236
13,cpython,pass_function,3.897894,0.000668,0,WORK cpython checksum 996236
13,cpython,baseline2,3.835978,0.000611,0,WORK cpython checksum 996236
13,cpython,baseline,3.838746,0.000609,0,WORK cpython checksum 996236
13,sqlite,always,3.036147,0.001842,1,WORK sqlite checksum 43910948
13,sqlite,oracle,2.927539,0.001837,288,WORK sqlite checksum 43910948
13,sqlite,pass_region,2.955153,0.001911,0,WORK sqlite checksum 43910948
13,sqlite,pass_hoist,2.944721,0.001915,0,WORK sqlite checksum 43910948
13,sqlite,pass_function,2.942302,0.001905,0,WORK sqlite checksum 43910948
13,sqlite,baseline2,2.930275,0.001732,0,WORK sqlite checksum 43910948
13,sqlite,baseline,2.928888,0.001725,0,WORK sqlite checksum 43910948
14,cpython,oracle,3.827392,0.000649,96,WORK cpython checksum 996236
14,cpython,pass_region,3.858486,0.000667,0,WORK cpython checksum 996236
14,cpython,pass_hoist,3.815378,0.000667,0,WORK cpython checksum 996236
14,cpython,pass_function,3.852077,0.000669,0,WORK cpython checksum 996236
14,cpython,baseline2,3.830992,0.000625,0,WORK cpython checksum 996236
14,cpython,baseline,3.803171,0.000609,0,WORK cpython checksum 996236
14,cpython,always,4.213512,0.000653,1,WORK cpython checksum 996236
14,sqlite,oracle,2.910469,0.001843,288,WORK sqlite checksum 43910948
14,sqlite,pass_region,2.930870,0.001904,0,WORK sqlite checksum 43910948
14,sqlite,pass_hoist,2.940225,0.001907,0,WORK sqlite checksum 43910948
14,sqlite,pass_function,2.928420,0.001910,0,WORK sqlite checksum 43910948
14,sqlite,baseline2,2.948296,0.001731,0,WORK sqlite checksum 43910948
14,sqlite,baseline,2.952947,0.001728,0,WORK sqlite checksum 43910948
14,sqlite,always,3.051637,0.001829,1,WORK sqlite checksum 43910948
15,cpython,pass_region,3.865617,0.000667,0,WORK cpython checksum 996236
15,cpython,pass_hoist,3.824112,0.000692,0,WORK cpython checksum 996236
15,cpython,pass_function,3.903560,0.000666,0,WORK cpython checksum 996236
15,cpython,baseline2,3.878385,0.000620,0,WORK cpython checksum 996236
15,cpython,baseline,3.821912,0.000600,0,WORK cpython checksum 996236
15,cpython,always,4.229640,0.000638,1,WORK cpython checksum 996236
15,cpython,oracle,3.828977,0.000636,96,WORK cpython checksum 996236
15,sqlite,pass_region,2.957552,0.001910,0,WORK sqlite checksum 43910948
15,sqlite,pass_hoist,3.036029,0.001917,0,WORK sqlite checksum 43910948
15,sqlite,pass_function,2.936373,0.001912,0,WORK sqlite checksum 43910948
15,sqlite,baseline2,2.940826,0.001734,0,WORK sqlite checksum 43910948
15,sqlite,baseline,2.933340,0.001725,0,WORK sqlite checksum 43910948
15,sqlite,always,3.031251,0.001829,1,WORK sqlite checksum 43910948
15,sqlite,oracle,2.927936,0.001838,288,WORK sqlite checksum 43910948
