rep,host,arm,seconds,rc,stdout_tail,probe_const,probe_perm,probe_dit
8,sqlite,dit,4.251595,0,       TOTAL.......................................................    4.242s,,,
8,lua,base,1.914226,0,LUABENCH binary_trees checksum 29447519,,,
8,lua,null,1.934673,0,LUABENCH binary_trees checksum 29447519,,,
8,lua,dit,2.184343,0,LUABENCH binary_trees checksum 29447519,,,
8,cpython,base,10.333748,0,PYBENCH nbody 2.542833 float,,,
8,cpython,null,10.372225,0,PYBENCH nbody 2.577232 float,,,
8,cpython,dit,11.051947,0,PYBENCH nbody 2.625474 float,,,
8,git,base,2.350350,0,579877,,,
8,git,null,2.344764,0,579877,,,
8,git,dit,2.408758,0,579877,,,
8,quickjs,base,13.313689,0,__total 3547,,,
8,quickjs,null,13.306124,0,__total 3563,,,
8,quickjs,dit,13.476994,0,__total 3235,,,
9,probe,base,0.023914,0,PROBE dit=0 const_ns_per_hop=0.2266 perm_ns_per_hop=0.8737 const_over_perm=0.2594 ck=665,0.2266,0.8737,0
9,probe,null,0.025683,0,PROBE dit=0 const_ns_per_hop=0.2290 perm_ns_per_hop=0.8759 const_over_perm=0.2614 ck=665,0.2290,0.8759,0
9,probe,dit,0.038006,0,PROBE dit=1 const_ns_per_hop=0.8712 perm_ns_per_hop=0.8704 const_over_perm=1.0009 ck=665,0.8712,0.8704,1
9,sqlite,base,3.997127,0,       TOTAL.......................................................    3.990s,,,
9,sqlite,null,4.119455,0,       TOTAL.......................................................    4.108s,,,
9,sqlite,dit,4.248681,0,       TOTAL.......................................................    4.239s,,,
9,lua,base,1.900647,0,LUABENCH binary_trees checksum 29447519,,,
9,lua,null,1.898966,0,LUABENCH binary_trees checksum 29447519,,,
9,lua,dit,2.185953,0,LUABENCH binary_trees checksum 29447519,,,
9,cpython,base,10.270232,0,PYBENCH nbody 2.556761 float,,,
9,cpython,null,10.262912,0,PYBENCH nbody 2.552916 float,,,
9,cpython,dit,11.019774,0,PYBENCH nbody 2.586797 float,,,
9,git,base,2.341869,0,579877,,,
9,git,null,2.341559,0,579877,,,
9,git,dit,2.411962,0,579877,,,
9,quickjs,base,13.334132,0,__total 3575,,,
9,quickjs,null,13.334361,0,__total 3590,,,
9,quickjs,dit,13.437513,0,__total 3376,,,
10,probe,base,0.023986,0,PROBE dit=0 const_ns_per_hop=0.2256 perm_ns_per_hop=0.8780 const_over_perm=0.2570 ck=665,0.2256,0.8780,0
10,probe,null,0.025636,0,PROBE dit=0 const_ns_per_hop=0.2304 perm_ns_per_hop=0.8742 const_over_perm=0.2635 ck=665,0.2304,0.8742,0
10,probe,dit,0.037997,0,PROBE dit=1 const_ns_per_hop=0.8717 perm_ns_per_hop=0.8732 const_over_perm=0.9984 ck=665,0.8717,0.8732,1
10,sqlite,base,4.010727,0,       TOTAL.......................................................    4.003s,,,
10,sqlite,null,3.988285,0,       TOTAL.......................................................    3.979s,,,
