K,offset,arm,cfg,rc,iter,warmup,targets,cycles,numInsts,simInsts,ipc,ditSuppressed,ditSwitches,commitNonSpecStalls,checksum,wall_s
50,3,taint,spec,0,1,1,1,47154342.0,106856415.0,106846669.0,2.266099,7775478.0,6838.0,23954.0,838059525,2455.4
50,4,base,serdit,0,1,1,1,47456759.0,106849577.0,106839831.0,2.251514,0.0,0.0,23954.0,838059525,2431.3
50,4,base,spec,0,1,1,1,47456759.0,106849577.0,106839831.0,2.251514,0.0,0.0,23954.0,838059525,2090.6
50,4,blanket,serdit,0,1,1,1,49328128.0,106849577.0,106839831.0,2.166098,19354042.0,0.0,23954.0,838059525,2235.1
50,4,blanket,spec,0,1,1,1,49328128.0,106849577.0,106839831.0,2.166098,19354042.0,0.0,23954.0,838059525,2012.2
50,4,taint,serdit,0,1,1,1,47393054.0,106856415.0,106846669.0,2.254685,7745508.0,6838.0,30792.0,838059525,1905.3
50,4,taint,spec,0,1,1,1,47140355.0,106856415.0,106846669.0,2.266772,7763223.0,6838.0,23954.0,838059525,2422.6
100,0,base,serdit,0,1,1,1,65304406.0,155211976.0,155201826.0,2.376746,0.0,0.0,27314.0,838475296,3348.1
100,0,base,spec,0,1,1,1,65304406.0,155211976.0,155201826.0,2.376746,0.0,0.0,27314.0,838475296,2645.1
100,0,blanket,serdit,0,1,1,1,67015545.0,155211976.0,155201826.0,2.316059,36051673.0,0.0,27314.0,838475296,2339.4
100,0,blanket,spec,0,1,1,1,67015545.0,155211976.0,155201826.0,2.316059,36051673.0,0.0,27314.0,838475296,2338.9
100,0,taint,serdit,0,1,1,1,65139179.0,155225874.0,155215724.0,2.382988,15441317.0,13898.0,41212.0,838475296,2808.6
100,0,taint,spec,0,1,1,1,64709810.0,155225874.0,155215724.0,2.3988,15405289.0,13898.0,27314.0,838475296,2663.7
100,1,base,serdit,0,1,1,1,65256597.0,155211976.0,155201826.0,2.378487,0.0,0.0,27314.0,838475296,2776.1
100,1,base,spec,0,1,1,1,65256597.0,155211976.0,155201826.0,2.378487,0.0,0.0,27314.0,838475296,3060.1
100,1,blanket,serdit,0,1,1,1,67066485.0,155211976.0,155201826.0,2.3143,36149882.0,0.0,27314.0,838475296,2384.9
100,1,blanket,spec,0,1,1,1,67066485.0,155211976.0,155201826.0,2.3143,36149882.0,0.0,27314.0,838475296,2643.6
100,1,taint,serdit,0,1,1,1,65121729.0,155225874.0,155215724.0,2.383626,15456925.0,13898.0,41212.0,838475296,2477.4
