# Experiment 01, the wallet flow under gem5 with the four arms, 2026-09-05: base (libsecp256k1 through the pass with an empty seed, coin selection plain C++), blanket (base + the constructor's msr DIT #1), api (base with secp256k1_ecdsa_sign and secp256k1_ec_pubkey_create wrapped in Apple's prologue/epilogue: mrs DIT token, msr DIT #1, isb sy for sb, call, clear only if the token was 0; --wrap), apinop (the same wrapper with every DIT instruction a NOP), taint (ExpeDITe at the shipped defaults: callee contract, twins, intra-block placement; seed_flow_contract.txt, the owned list).
# K = inputs signed per flow; spec = renamed MSR DIT, serdit = serialising; 5 argv[0] offsets; 450 runs, all gates pass. Compiler dit-tainter (LLVM 9d596a3c2858 code); gem5 the rig worktree's build (pre master #106).
# taintx = ExpeDITe with -taint-dit-external-preserves (library obj/taintx), 90 cells added 2026-09-05 evening, all gates pass.
K,offset,arm,cfg,rc,iter,warmup,targets,cycles,numInsts,simInsts,ipc,ditSuppressed,ditSwitches,commitNonSpecStalls,checksum,wall_s
1,2,apinop,serdit,0,1,1,1,30098479.0,59968359.0,59958984.0,1.992405,0.0,0.0,20736.0,837648726,
1,2,apinop,spec,0,1,1,1,30098479.0,59968359.0,59958984.0,1.992405,0.0,0.0,20736.0,837648726,
1,2,base,serdit,0,1,1,1,30286344.0,59968335.0,59958966.0,1.980045,0.0,0.0,20736.0,837648726,
1,2,base,spec,0,1,1,1,30286344.0,59968335.0,59958966.0,1.980045,0.0,0.0,20736.0,837648726,
1,2,blanket,serdit,0,1,1,1,32254392.0,59968335.0,59958966.0,1.85923,3064436.0,0.0,20736.0,837648726,
1,2,blanket,spec,0,1,1,1,32254392.0,59968335.0,59958966.0,1.85923,3064436.0,0.0,20736.0,837648726,
1,2,taint,serdit,0,1,1,1,30146665.0,59969625.0,59960256.0,1.989262,114440.0,156.0,20894.0,837648726,
1,2,taint,spec,0,1,1,1,30188392.0,59969625.0,59960256.0,1.986513,114020.0,156.0,20738.0,837648726,
1,2,taintx,serdit,0,1,1,1,30155297.0,59969613.0,59960244.0,1.988693,115936.0,144.0,20882.0,837648726,1119.1
1,2,taintx,spec,0,1,1,1,30166038.0,59969613.0,59960244.0,1.987984,115965.0,144.0,20738.0,837648726,1082.1
1,3,api,serdit,0,1,1,1,30224733.0,59968359.0,59958990.0,1.984082,111192.0,4.0,20740.0,837648726,
