row,family,size,cycles_A,instrs_A,ditwrites_A,cycles_C,instrs_C,ditwrites_C,cycles_B,instrs_B,ditwrites_B,cycles_H,instrs_H,ditwrites_H,cycles_Be,instrs_Be,ditwrites_Be,cycles_He,instrs_He,ditwrites_He
AES-192 decrypt setup,AES-192 decrypt setup,,197.0742,288.0073,,197.0375,288.0073,0.0000,272.0998,312.0073,2.0000,237.0238,306.0073,1.0000,197.0559,312.0073,2.0000,197.0403,306.0073,1.0000
AES-192 encrypt,AES-192 encrypt,,63.0315,73.0040,,63.0205,73.0040,0.0000,126.2225,103.0040,2.0000,92.0130,97.0040,1.0000,63.0305,103.0040,2.0000,63.0205,97.0040,1.0000
AES-192 encrypt setup,AES-192 encrypt setup,,179.0487,230.0063,,179.0510,230.0063,0.0000,254.0620,254.0063,2.0000,218.0479,248.0063,1.0000,179.0526,254.0063,2.0000,179.0557,248.0063,1.0000
AES-256 decrypt,AES-256 decrypt,,72.0265,81.0040,,72.0150,81.0040,0.0000,137.0880,111.0040,2.0000,101.0135,105.0040,1.0000,72.0330,111.0040,2.0000,72.0245,105.0040,1.0000
AES-256 decrypt setup,AES-256 decrypt setup,,177.0654,297.0077,,177.0423,297.0077,0.0000,254.1250,321.0077,2.0000,220.0260,315.0077,1.0000,177.5298,321.0077,2.0000,177.0500,315.0077,1.0000
AES-256 encrypt,AES-256 encrypt,,72.0285,81.0040,,72.0175,81.0040,0.0000,134.0480,111.0040,2.0000,101.0145,105.0040,1.0000,72.0265,111.0040,2.0000,72.0180,105.0040,1.0000
AES-256 encrypt setup,AES-256 encrypt setup,,141.0517,231.0066,,141.0534,231.0066,0.0000,229.0714,255.0066,2.0000,190.0575,249.0066,1.0000,141.0673,255.0066,2.0000,141.0706,249.0066,1.0000
AES-256-XTS decrypt [1350 B],AES-256-XTS decrypt,1350,1337.5957,3605.0851,,1393.0532,3605.0851,0.0000,1582.6489,3663.0851,5.0000,1487.1809,3653.0851,3.0000,1406.9681,3663.0851,5.0000,1395.3936,3653.0851,3.0000
AES-256-XTS decrypt [16 B],AES-256-XTS decrypt,16,179.1032,374.0067,,199.0478,374.0067,0.0000,383.0763,432.0067,5.0000,300.0260,422.0067,3.0000,202.0772,432.0067,5.0000,203.0596,422.0067,3.0000
AES-256-XTS decrypt [16384 B],AES-256-XTS decrypt,16384,13205.6250,39052.0000,,12701.6250,39052.0000,0.0000,13416.5000,39110.0000,5.0000,13303.6250,39100.0000,3.0000,12717.1250,39110.0000,5.0000,13235.1250,39100.0000,3.0000
