rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
25,baseline,3.162385,0.287838,9.1019,10527241102943389473,0.2236,0.8687
25,null,3.183117,0.289212,9.0858,10527241102943389473,0.2236,0.8687
25,always,3.267033,0.307616,9.4158,10527241102943389473,0.2236,0.8687
25,oracle,3.169139,0.307627,9.7069,10527241102943389473,0.2236,0.8687
25,pass_region,3.586247,0.429452,11.9750,10527241102943389473,0.2236,0.8687
25,pass_hoist,3.509127,0.418893,11.9372,10527241102943389473,0.2236,0.8687
25,baseline2,3.145905,0.288790,9.1799,10527241102943389473,0.2236,0.8687
26,null,3.145771,0.287807,9.1490,10527241102943389473,0.2226,0.8720
26,always,3.233553,0.308462,9.5394,10527241102943389473,0.2226,0.8720
26,oracle,3.184789,0.307958,9.6697,10527241102943389473,0.2226,0.8720
26,pass_region,3.566483,0.428795,12.0229,10527241102943389473,0.2226,0.8720
26,pass_hoist,3.507389,0.419157,11.9507,10527241102943389473,0.2226,0.8720
26,baseline2,3.147831,0.288506,9.1652,10527241102943389473,0.2226,0.8720
26,baseline,3.186261,0.288273,9.0474,10527241102943389473,0.2226,0.8720
27,always,3.243985,0.307999,9.4945,10527241102943389473,0.2267,0.8698
27,oracle,3.162694,0.307983,9.7380,10527241102943389473,0.2267,0.8698
27,pass_region,3.579825,0.430042,12.0129,10527241102943389473,0.2267,0.8698
27,pass_hoist,3.540721,0.418048,11.8069,10527241102943389473,0.2267,0.8698
27,baseline2,3.166360,0.289140,9.1316,10527241102943389473,0.2267,0.8698
27,baseline,3.156552,0.288381,9.1360,10527241102943389473,0.2267,0.8698
27,null,3.169139,0.289250,9.1271,10527241102943389473,0.2267,0.8698
28,oracle,3.146104,0.307621,9.7778,10527241102943389473,0.2232,0.8701
28,pass_region,3.589477,0.430656,11.9977,10527241102943389473,0.2232,0.8701
28,pass_hoist,3.517440,0.419712,11.9323,10527241102943389473,0.2232,0.8701
28,baseline2,3.154346,0.287853,9.1256,10527241102943389473,0.2232,0.8701
28,baseline,3.147098,0.288440,9.1653,10527241102943389473,0.2232,0.8701
28,null,3.168619,0.288662,9.1100,10527241102943389473,0.2232,0.8701
28,always,3.259600,0.307100,9.4214,10527241102943389473,0.2232,0.8701
29,pass_region,3.569934,0.429359,12.0271,10527241102943389473,0.2207,0.8701
29,pass_hoist,3.499490,0.420121,12.0052,10527241102943389473,0.2207,0.8701
29,baseline2,3.156701,0.288415,9.1366,10527241102943389473,0.2207,0.8701
29,baseline,3.169936,0.288765,9.1095,10527241102943389473,0.2207,0.8701
29,null,3.193386,0.289277,9.0586,10527241102943389473,0.2207,0.8701
29,always,3.318004,0.307826,9.2775,10527241102943389473,0.2207,0.8701
29,oracle,3.161711,0.307616,9.7294,10527241102943389473,0.2207,0.8701
30,pass_hoist,3.509724,0.419194,11.9438,10527241102943389473,0.2248,0.8685
30,baseline2,3.162547,0.287970,9.1056,10527241102943389473,0.2248,0.8685
30,baseline,3.156217,0.288134,9.1291,10527241102943389473,0.2248,0.8685
30,null,3.185325,0.288952,9.0713,10527241102943389473,0.2248,0.8685
30,always,3.260874,0.307438,9.4281,10527241102943389473,0.2248,0.8685
30,oracle,3.181062,0.308466,9.6970,10527241102943389473,0.2248,0.8685
30,pass_region,3.571299,0.430373,12.0509,10527241102943389473,0.2248,0.8685
31,baseline2,3.159027,0.288487,9.1321,10527241102943389473,0.2220,0.8689
31,baseline,3.152362,0.288994,9.1675,10527241102943389473,0.2220,0.8689
31,null,3.151918,0.288504,9.1533,10527241102943389473,0.2220,0.8689
31,always,3.274083,0.307729,9.3989,10527241102943389473,0.2220,0.8689
31,oracle,3.183343,0.307772,9.6682,10527241102943389473,0.2220,0.8689
31,pass_region,3.545663,0.433200,12.2178,10527241102943389473,0.2220,0.8689
31,pass_hoist,3.520613,0.419914,11.9273,10527241102943389473,0.2220,0.8689
32,baseline,3.147804,0.288299,9.1587,10527241102943389473,0.2235,0.8689
32,null,3.179421,0.287916,9.0556,10527241102943389473,0.2235,0.8689
32,always,3.254725,0.307574,9.4501,10527241102943389473,0.2235,0.8689
32,oracle,3.198576,0.307312,9.6078,10527241102943389473,0.2235,0.8689
32,pass_region,3.574757,0.429855,12.0247,10527241102943389473,0.2235,0.8689
32,pass_hoist,3.518628,0.418900,11.9052,10527241102943389473,0.2235,0.8689
32,baseline2,3.158727,0.288895,9.1459,10527241102943389473,0.2235,0.8689
33,null,3.153787,0.287644,9.1206,10527241102943389473,0.2228,0.8688
33,always,3.249364,0.307656,9.4682,10527241102943389473,0.2228,0.8688
33,oracle,3.184083,0.307654,9.6622,10527241102943389473,0.2228,0.8688
33,pass_region,3.581037,0.429291,11.9879,10527241102943389473,0.2228,0.8688
33,pass_hoist,3.530216,0.419133,11.8727,10527241102943389473,0.2228,0.8688
33,baseline2,3.144629,0.289319,9.2004,10527241102943389473,0.2228,0.8688
33,baseline,3.164212,0.288455,9.1162,10527241102943389473,0.2228,0.8688
34,always,3.242442,0.307736,9.4909,10527241102943389473,0.2201,0.8696
34,oracle,3.176600,0.308037,9.6971,10527241102943389473,0.2201,0.8696
34,pass_region,3.563326,0.430226,12.0737,10527241102943389473,0.2201,0.8696
34,pass_hoist,3.512773,0.419078,11.9301,10527241102943389473,0.2201,0.8696
34,baseline2,3.157568,0.288667,9.1421,10527241102943389473,0.2201,0.8696
34,baseline,3.174323,0.288724,9.0956,10527241102943389473,0.2201,0.8696
34,null,3.147020,0.287346,9.1307,10527241102943389473,0.2201,0.8696
35,oracle,3.177301,0.307758,9.6861,10527241102943389473,0.2236,0.8688
35,pass_region,3.598794,0.429425,11.9325,10527241102943389473,0.2236,0.8688
35,pass_hoist,3.501516,0.419180,11.9714,10527241102943389473,0.2236,0.8688
35,baseline2,3.174031,0.288074,9.0760,10527241102943389473,0.2236,0.8688
35,baseline,3.158479,0.288510,9.1345,10527241102943389473,0.2236,0.8688
35,null,3.167354,0.288716,9.1154,10527241102943389473,0.2236,0.8688
35,always,3.226968,0.308000,9.5446,10527241102943389473,0.2236,0.8688
36,pass_region,3.571993,0.431318,12.0750,10527241102943389473,0.2240,0.8700
36,pass_hoist,3.506452,0.419332,11.9589,10527241102943389473,0.2240,0.8700
36,baseline2,3.174929,0.288369,9.0827,10527241102943389473,0.2240,0.8700
36,baseline,3.163595,0.288183,9.1094,10527241102943389473,0.2240,0.8700
36,null,3.169521,0.288724,9.1094,10527241102943389473,0.2240,0.8700
36,always,3.235442,0.307497,9.5040,10527241102943389473,0.2240,0.8700
36,oracle,3.188106,0.307364,9.6410,10527241102943389473,0.2240,0.8700
37,pass_hoist,3.519869,0.418619,11.8930,10527241102943389473,0.2246,0.8691
37,baseline2,3.162089,0.288388,9.1202,10527241102943389473,0.2246,0.8691
37,baseline,3.170225,0.288232,9.0919,10527241102943389473,0.2246,0.8691
37,null,3.166289,0.288036,9.0969,10527241102943389473,0.2246,0.8691
37,always,3.243233,0.307744,9.4888,10527241102943389473,0.2246,0.8691
37,oracle,3.181559,0.307816,9.6750,10527241102943389473,0.2246,0.8691
37,pass_region,3.586266,0.430495,12.0040,10527241102943389473,0.2246,0.8691
38,baseline2,3.146690,0.288647,9.1730,10527241102943389473,0.2288,0.8692
38,baseline,3.166435,0.288702,9.1176,10527241102943389473,0.2288,0.8692
38,null,3.162195,0.288464,9.1223,10527241102943389473,0.2288,0.8692
38,always,3.261111,0.308039,9.4458,10527241102943389473,0.2288,0.8692
38,oracle,3.192113,0.307331,9.6278,10527241102943389473,0.2288,0.8692
38,pass_region,3.567787,0.430042,12.0535,10527241102943389473,0.2288,0.8692
38,pass_hoist,3.515731,0.419185,11.9231,10527241102943389473,0.2288,0.8692
39,baseline,3.158449,0.288581,9.1368,10527241102943389473,0.2219,0.8685
39,null,3.154961,0.288359,9.1399,10527241102943389473,0.2219,0.8685
39,always,3.239365,0.307711,9.4991,10527241102943389473,0.2219,0.8685
39,oracle,3.196272,0.307923,9.6338,10527241102943389473,0.2219,0.8685
39,pass_region,3.569552,0.431677,12.0933,10527241102943389473,0.2219,0.8685
39,pass_hoist,3.507367,0.419942,11.9731,10527241102943389473,0.2219,0.8685
39,baseline2,3.136675,0.288511,9.1980,10527241102943389473,0.2219,0.8685
40,null,3.163793,0.288581,9.1214,10527241102943389473,0.2220,0.8694
40,always,3.245642,0.307460,9.4730,10527241102943389473,0.2220,0.8694
40,oracle,3.190284,0.307719,9.6455,10527241102943389473,0.2220,0.8694
