rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
20,pass_region,3.536064,0.421349,11.9158,10527241102943389473,0.2205,0.8689
20,pass_hoist,3.483224,0.411509,11.8140,10527241102943389473,0.2205,0.8689
20,baseline2,3.138674,0.287686,9.1658,10527241102943389473,0.2205,0.8689
20,baseline,3.155556,0.287256,9.1032,10527241102943389473,0.2205,0.8689
20,null,3.142735,0.288252,9.1720,10527241102943389473,0.2205,0.8689
21,oracle,3.138385,0.307273,9.7908,10527241102943389473,0.2176,0.8693
21,pass_region,3.552605,0.421308,11.8591,10527241102943389473,0.2176,0.8693
21,pass_hoist,3.488845,0.410456,11.7648,10527241102943389473,0.2176,0.8693
21,baseline2,3.149201,0.287238,9.1210,10527241102943389473,0.2176,0.8693
21,baseline,3.153679,0.287157,9.1055,10527241102943389473,0.2176,0.8693
21,null,3.126879,0.287577,9.1969,10527241102943389473,0.2176,0.8693
21,always,3.255221,0.305415,9.3823,10527241102943389473,0.2176,0.8693
22,pass_region,3.548500,0.422044,11.8936,10527241102943389473,0.2175,0.8693
22,pass_hoist,3.509206,0.410371,11.6941,10527241102943389473,0.2175,0.8693
22,baseline2,3.144287,0.287224,9.1348,10527241102943389473,0.2175,0.8693
22,baseline,3.156154,0.288014,9.1255,10527241102943389473,0.2175,0.8693
22,null,3.138077,0.287560,9.1636,10527241102943389473,0.2175,0.8693
22,always,3.248839,0.306368,9.4301,10527241102943389473,0.2175,0.8693
22,oracle,3.149611,0.306265,9.7239,10527241102943389473,0.2175,0.8693
23,pass_hoist,3.496964,0.411130,11.7568,10527241102943389473,0.2184,0.8683
23,baseline2,3.153220,0.286650,9.0907,10527241102943389473,0.2184,0.8683
23,baseline,3.160212,0.287047,9.0831,10527241102943389473,0.2184,0.8683
23,null,3.143557,0.287349,9.1409,10527241102943389473,0.2184,0.8683
23,always,3.244197,0.305791,9.4258,10527241102943389473,0.2184,0.8683
23,oracle,3.153531,0.306129,9.7075,10527241102943389473,0.2184,0.8683
23,pass_region,3.550036,0.421729,11.8796,10527241102943389473,0.2184,0.8683
24,baseline2,3.157712,0.286727,9.0802,10527241102943389473,0.2189,0.8688
24,baseline,3.160651,0.287673,9.1017,10527241102943389473,0.2189,0.8688
24,null,3.159405,0.288871,9.1432,10527241102943389473,0.2189,0.8688
24,always,3.245017,0.306561,9.4471,10527241102943389473,0.2189,0.8688
24,oracle,3.153178,0.307529,9.7530,10527241102943389473,0.2189,0.8688
24,pass_region,3.537966,0.421424,11.9115,10527241102943389473,0.2189,0.8688
24,pass_hoist,3.491976,0.412293,11.8069,10527241102943389473,0.2189,0.8688
25,baseline,3.155751,0.286992,9.0943,10527241102943389473,0.2223,0.8692
25,null,3.145324,0.288382,9.1686,10527241102943389473,0.2223,0.8692
25,always,3.241469,0.306583,9.4582,10527241102943389473,0.2223,0.8692
25,oracle,3.151859,0.307110,9.7438,10527241102943389473,0.2223,0.8692
25,pass_region,3.551872,0.422356,11.8911,10527241102943389473,0.2223,0.8692
25,pass_hoist,3.480550,0.411586,11.8253,10527241102943389473,0.2223,0.8692
25,baseline2,3.151287,0.287100,9.1106,10527241102943389473,0.2223,0.8692
26,null,3.160117,0.288045,9.1150,10527241102943389473,0.2176,0.8687
26,always,3.231145,0.305924,9.4680,10527241102943389473,0.2176,0.8687
26,oracle,3.172928,0.307131,9.6797,10527241102943389473,0.2176,0.8687
26,pass_region,3.572761,0.431901,12.0887,10527241102943389473,0.2176,0.8687
26,pass_hoist,3.545810,0.418965,11.8158,10527241102943389473,0.2176,0.8687
26,baseline2,3.180816,0.287101,9.0260,10527241102943389473,0.2176,0.8687
26,baseline,3.137632,0.287471,9.1620,10527241102943389473,0.2176,0.8687
27,always,3.261301,0.309247,9.4823,10527241102943389473,0.2173,0.8691
27,oracle,3.152650,0.307386,9.7501,10527241102943389473,0.2173,0.8691
27,pass_region,3.551169,0.422008,11.8837,10527241102943389473,0.2173,0.8691
27,pass_hoist,3.499964,0.413409,11.8118,10527241102943389473,0.2173,0.8691
27,baseline2,3.145398,0.287010,9.1248,10527241102943389473,0.2173,0.8691
27,baseline,3.147968,0.287914,9.1460,10527241102943389473,0.2173,0.8691
27,null,3.139733,0.288047,9.1743,10527241102943389473,0.2173,0.8691
28,oracle,3.167840,0.307341,9.7019,10527241102943389473,0.2178,0.8689
28,pass_region,3.540265,0.424911,12.0022,10527241102943389473,0.2178,0.8689
28,pass_hoist,3.485277,0.412096,11.8239,10527241102943389473,0.2178,0.8689
28,baseline2,3.162894,0.286846,9.0691,10527241102943389473,0.2178,0.8689
28,baseline,3.181782,0.287296,9.0294,10527241102943389473,0.2178,0.8689
28,null,3.137622,0.287239,9.1547,10527241102943389473,0.2178,0.8689
28,always,3.231724,0.306224,9.4756,10527241102943389473,0.2178,0.8689
29,pass_region,3.557318,0.423230,11.8974,10527241102943389473,0.2177,0.8693
29,pass_hoist,3.515277,0.412388,11.7313,10527241102943389473,0.2177,0.8693
29,baseline2,3.150257,0.287662,9.1314,10527241102943389473,0.2177,0.8693
29,baseline,3.142669,0.287046,9.1338,10527241102943389473,0.2177,0.8693
29,null,3.153150,0.288008,9.1340,10527241102943389473,0.2177,0.8693
29,always,3.240655,0.306229,9.4496,10527241102943389473,0.2177,0.8693
29,oracle,3.125369,0.308202,9.8613,10527241102943389473,0.2177,0.8693
30,pass_hoist,3.505976,0.412869,11.7762,10527241102943389473,0.2181,0.8695
30,baseline2,3.155170,0.288119,9.1317,10527241102943389473,0.2181,0.8695
30,baseline,3.132728,0.288397,9.2059,10527241102943389473,0.2181,0.8695
30,null,3.161133,0.287274,9.0877,10527241102943389473,0.2181,0.8695
30,always,3.219068,0.306647,9.5260,10527241102943389473,0.2181,0.8695
30,oracle,3.169202,0.307027,9.6878,10527241102943389473,0.2181,0.8695
30,pass_region,3.566865,0.430423,12.0673,10527241102943389473,0.2181,0.8695
31,baseline2,3.152315,0.287179,9.1101,10527241102943389473,0.2182,0.8690
31,baseline,3.153992,0.288166,9.1365,10527241102943389473,0.2182,0.8690
31,null,3.165281,0.287898,9.0955,10527241102943389473,0.2182,0.8690
31,always,3.254230,0.306897,9.4307,10527241102943389473,0.2182,0.8690
31,oracle,3.154409,0.306818,9.7266,10527241102943389473,0.2182,0.8690
31,pass_region,3.548373,0.423136,11.9248,10527241102943389473,0.2182,0.8690
31,pass_hoist,3.503174,0.411819,11.7556,10527241102943389473,0.2182,0.8690
32,baseline,3.143415,0.287148,9.1349,10527241102943389473,0.2191,0.8696
32,null,3.150177,0.287744,9.1342,10527241102943389473,0.2191,0.8696
32,always,3.218765,0.306683,9.5280,10527241102943389473,0.2191,0.8696
32,oracle,3.145104,0.306913,9.7584,10527241102943389473,0.2191,0.8696
32,pass_region,3.534301,0.424490,12.0106,10527241102943389473,0.2191,0.8696
32,pass_hoist,3.498945,0.412825,11.7986,10527241102943389473,0.2191,0.8696
32,baseline2,3.137435,0.287488,9.1632,10527241102943389473,0.2191,0.8696
33,null,3.125541,0.288380,9.2266,10527241102943389473,0.2211,0.8690
33,always,3.220266,0.306824,9.5279,10527241102943389473,0.2211,0.8690
33,oracle,3.133956,0.307755,9.8200,10527241102943389473,0.2211,0.8690
33,pass_region,3.558879,0.424278,11.9217,10527241102943389473,0.2211,0.8690
33,pass_hoist,3.503284,0.413557,11.8048,10527241102943389473,0.2211,0.8690
33,baseline2,3.146969,0.288034,9.1527,10527241102943389473,0.2211,0.8690
33,baseline,3.137519,0.288514,9.1956,10527241102943389473,0.2211,0.8690
34,always,3.228983,0.305963,9.4755,10527241102943389473,0.2185,0.8707
34,oracle,3.149308,0.307678,9.7697,10527241102943389473,0.2185,0.8707
34,pass_region,3.556763,0.424920,11.9468,10527241102943389473,0.2185,0.8707
34,pass_hoist,3.513865,0.414217,11.7881,10527241102943389473,0.2185,0.8707
34,baseline2,3.149012,0.287169,9.1193,10527241102943389473,0.2185,0.8707
34,baseline,3.152540,0.287681,9.1254,10527241102943389473,0.2185,0.8707
34,null,3.134593,0.288182,9.1936,10527241102943389473,0.2185,0.8707
35,oracle,3.148609,0.307521,9.7669,10527241102943389473,0.2206,0.8691
35,pass_region,3.576545,0.424909,11.8804,10527241102943389473,0.2206,0.8691
35,pass_hoist,3.504403,0.414126,11.8173,10527241102943389473,0.2206,0.8691
35,baseline2,3.154280,0.287694,9.1207,10527241102943389473,0.2206,0.8691
35,baseline,3.146485,0.287323,9.1315,10527241102943389473,0.2206,0.8691
35,null,3.149875,0.288776,9.1679,10527241102943389473,0.2206,0.8691
35,always,3.243474,0.306443,9.4480,10527241102943389473,0.2206,0.8691
36,pass_region,3.553146,0.423873,11.9295,10527241102943389473,0.2192,0.8689
36,pass_hoist,3.507968,0.412625,11.7625,10527241102943389473,0.2192,0.8689
36,baseline2,3.151811,0.288063,9.1396,10527241102943389473,0.2192,0.8689
36,baseline,3.142987,0.287886,9.1596,10527241102943389473,0.2192,0.8689
36,null,3.167271,0.287951,9.0915,10527241102943389473,0.2192,0.8689
36,always,3.211246,0.306989,9.5598,10527241102943389473,0.2192,0.8689
36,oracle,3.166489,0.307542,9.7124,10527241102943389473,0.2192,0.8689
37,pass_hoist,3.496262,0.413262,11.8201,10527241102943389473,0.2178,0.8706
37,baseline2,3.162968,0.287511,9.0899,10527241102943389473,0.2178,0.8706
37,baseline,3.159062,0.288009,9.1169,10527241102943389473,0.2178,0.8706
37,null,3.152596,0.287856,9.1308,10527241102943389473,0.2178,0.8706
37,always,3.238946,0.306725,9.4699,10527241102943389473,0.2178,0.8706
37,oracle,3.169642,0.307346,9.6965,10527241102943389473,0.2178,0.8706
37,pass_region,3.551168,0.425807,11.9906,10527241102943389473,0.2178,0.8706
38,baseline2,3.145193,0.287746,9.1488,10527241102943389473,0.2190,0.8697
38,baseline,3.149614,0.287205,9.1187,10527241102943389473,0.2190,0.8697
38,null,3.183341,0.288296,9.0564,10527241102943389473,0.2190,0.8697
38,always,3.216554,0.306686,9.5346,10527241102943389473,0.2190,0.8697
38,oracle,3.146093,0.307698,9.7803,10527241102943389473,0.2190,0.8697
38,pass_region,3.554332,0.425288,11.9653,10527241102943389473,0.2190,0.8697
38,pass_hoist,3.496295,0.414805,11.8641,10527241102943389473,0.2190,0.8697
39,baseline,3.146665,0.287916,9.1499,10527241102943389473,0.2192,0.8684
39,null,3.173730,0.287258,9.0511,10527241102943389473,0.2192,0.8684
39,always,3.242854,0.306474,9.4508,10527241102943389473,0.2192,0.8684
39,oracle,3.145453,0.307675,9.7816,10527241102943389473,0.2192,0.8684
39,pass_region,3.548440,0.424693,11.9685,10527241102943389473,0.2192,0.8684
39,pass_hoist,3.488299,0.413843,11.8638,10527241102943389473,0.2192,0.8684
39,baseline2,3.165677,0.287409,9.0789,10527241102943389473,0.2192,0.8684
40,null,3.154778,0.288047,9.1305,10527241102943389473,0.2240,0.8689
40,always,3.240326,0.306877,9.4705,10527241102943389473,0.2240,0.8689
40,oracle,3.139653,0.307488,9.7937,10527241102943389473,0.2240,0.8689
40,pass_region,3.533064,0.425310,12.0380,10527241102943389473,0.2240,0.8689
40,pass_hoist,3.496652,0.414345,11.8498,10527241102943389473,0.2240,0.8689
40,baseline2,3.136015,0.287314,9.1617,10527241102943389473,0.2240,0.8689
40,baseline,3.142752,0.287611,9.1516,10527241102943389473,0.2240,0.8689
41,always,3.233572,0.306383,9.4751,10527241102943389473,0.2205,0.8699
