arm,function,undertaint_ops,sites
null_bracket,mbedtls_x509_get_name,693,35
null_bracket,psa_free_key_slot,685,17
null_bracket,psa_import_key,650,38
null_bracket,mbedtls_aes_crypt_ecb,645,5
null_bracket,mbedtls_mpi_core_read_be,629,27
null_bracket,mbedtls_gcm_update,629,30
null_bracket,mbedtls_ssl_fetch_input,609,27
null_bracket,psa_hash_setup,594,14
null_bracket,mbedtls_ssl_read_record,571,54
null_bracket,mbedtls_mpi_shift_l,567,31
null_bracket,ssl_parse_record_header,506,35
null_bracket,mbedtls_gcm_crypt_and_tag,503,43
null_bracket,mbedtls_sha256_clone,498,8
null_bracket,mbedtls_ssl_tls13_hkdf_expand_label,483,21
null_bracket,_int_free_merge_chunk,483,30
null_bracket,psa_mac_sign_finish,477,7
null_bracket,mbedtls_cipher_update,472,12
null_bracket,psa_generate_random,464,20
null_bracket,psa_reserve_free_key_slot,443,19
null_bracket,cli_recv,436,15
null_bracket,_int_free_create_chunk,411,29
null_bracket,mbedtls_ssl_write_record,409,61
null_bracket,mbedtls_ssl_write_client_hello,354,109
null_bracket,psa_aead_decrypt,344,50
null_bracket,psa_get_and_lock_key_slot_with_policy,339,24
null_bracket,mbedtls_mpi_resize_clear,319,14
null_bracket,mbedtls_aesce_gcm_mult,317,3
null_bracket,mbedtls_mpi_div_mpi,316,23
null_bracket,mbedtls_mpi_mod_mpi,310,30
null_bracket,psa_import_key_into_slot,305,15
null_bracket,mbedtls_ssl_flush_output,295,28
null_bracket,mbedtls_psa_hash_setup,294,9
null_bracket,mbedtls_psa_hash_update,285,11
null_bracket,mbedtls_asn1_get_len,282,9
null_bracket,mbedtls_psa_ecp_load_representation,281,43
null_bracket,mbedtls_psa_aead_decrypt,276,34
null_bracket,psa_destroy_key,256,7
null_bracket,psa_finish_key_creation,256,10
null_bracket,psa_mac_finish_internal,256,6
null_bracket,ssl_handshake_init,252,37
null_bracket,mbedtls_ssl_tls13_check_received_extension,250,22
