scenario,config,gap,cycles,insts,predictions,load_predictions,behind_clear,behind_clear_retired,in_sequence,leak_entry,behind_set_squashed,behind_clear_squashed_younger,behind_clear_squashed_samepath,rename_serializing,dit_tagged_set,branch_mispredicts,value_mispredicts,claim_violations,clears_committed,clears_reg_committed,early_published,early_lead_cycles,held_branch,held_valuepred,checksum
branch,nodit,192,462946.0,1328326.0,111330.0,101087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6117.0,0.0,74.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67725
branch,serializing,0,478578.0,227033.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17884.0,163536.0,123.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,serializing,6,478668.0,262559.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17883.0,163563.0,122.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,serializing,12,490185.0,298085.0,94867.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17883.0,163500.0,121.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,serializing,24,531359.0,369137.0,94850.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17884.0,163449.0,122.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,serializing,48,563841.0,511241.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17885.0,163551.0,124.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,serializing,96,619452.0,795449.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17885.0,163526.0,124.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,serializing,192,755310.0,1363865.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17884.0,163526.0,123.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,flush-after,0,595321.0,227033.0,94865.0,94735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17881.0,271130.0,122.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,flush-after,6,607572.0,262559.0,94866.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17880.0,270560.0,121.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
