bench,arm,cfg,cycles,insts,ops,fetchInsts,icacheLines,icacheStall,l1i_acc,l1i_miss,l1d_acc,l1d_miss,l2_miss,bpLookups,bpBTBHits,condPred,condIncorr,bpSquash,bpSquashCond,sqInsts,iqFull,robFull,renBlocked,decBlocked,ftqFull,fetchRun,nisn0,ditWrites,ditCycles
chacha20_poly1305_decrypt,pad4,spec,2270.28,5057.0,5525.0,5148.34,450.3,450.18,450.3,0.0,728.9,0.0,0.0,277.62,277.62,163.26,0.0,16.14,11.02,70.86,674.5,0.04,718.0,784.7,2240.24,1818.76,1070.84,0.0,0.0
chacha20_poly1305_decrypt,pad512,spec,2273.76,5057.0,5525.0,5147.58,446.72,447.0,446.72,0.0,734.12,0.0,0.0,269.94,269.94,161.44,0.0,8.4,7.32,45.24,646.5,0.0,714.22,774.16,2248.38,1825.7,1092.46,0.0,0.0
chacha20_poly1305_decrypt,pad64,spec,2293.78,5057.0,5525.0,5189.0,451.0,450.74,451.0,0.0,750.16,0.0,0.0,290.34,290.34,173.82,0.0,29.0,20.08,75.42,647.54,0.0,714.38,773.1,2247.86,1841.36,1099.68,0.0,0.0
chacha20_poly1305_decrypt,pad65536,spec,2280.0,5057.0,5525.0,5150.18,447.32,447.02,447.32,0.0,740.82,0.0,0.0,270.48,270.48,161.86,0.0,9.02,7.78,45.58,652.56,0.0,718.92,776.8,2254.1,1831.9,1099.46,0.0,0.0
chacha20_poly1305_decrypt,pad8192,spec,2289.14,5057.0,5525.0,5145.06,447.18,447.04,447.18,0.0,736.48,0.0,0.0,269.78,269.78,161.5,0.0,8.06,7.06,45.3,663.46,0.0,728.34,788.58,2264.14,1841.04,1108.76,0.0,0.0
chacha20_poly1305_decrypt,pad8,spec,2329.8,5057.0,5525.0,5092.74,416.28,415.5,416.28,0.0,717.94,0.0,0.08,270.28,270.28,160.62,0.0,6.96,6.5,53.68,758.16,0.0,808.88,902.14,2311.94,1913.28,1172.74,0.0,0.0
chacha20_poly1305_decrypt,pad96,spec,2302.92,5057.0,5525.0,5155.5,465.2,465.66,465.2,0.0,738.54,0.0,0.0,278.28,278.28,164.4,0.0,12.72,8.62,53.88,651.82,0.0,704.36,769.78,2281.34,1836.1,1098.84,0.0,0.0
chacha20_poly1305_encrypt,pad0,spec,2185.86,4810.0,5276.0,4938.48,449.2,450.1,449.2,0.0,661.34,0.0,0.0,252.08,252.08,151.52,0.0,46.54,28.98,100.5,599.52,0.0,653.86,713.48,2130.62,1734.04,1040.26,0.0,0.0
chacha20_poly1305_encrypt,pad1024,spec,2153.34,4810.0,5276.0,4900.1,445.56,446.86,445.56,0.0,660.38,0.0,0.0,243.5,243.5,143.66,0.0,37.9,21.06,77.22,570.72,0.0,626.08,679.06,2108.04,1705.08,1016.18,0.0,0.0
chacha20_poly1305_encrypt,pad128,spec,2176.18,4810.0,5276.0,4893.08,443.92,444.92,443.92,0.0,660.94,0.0,0.0,243.32,243.32,143.7,0.06,36.96,20.34,73.52,597.42,0.0,650.58,705.62,2130.74,1729.28,1040.62,0.0,0.0
chacha20_poly1305_encrypt,pad12,spec,2258.14,4810.0,5276.0,4894.18,409.12,409.64,409.12,0.0,650.7,0.0,0.0,228.4,228.4,136.76,0.0,17.66,9.02,26.18,752.2,0.0,792.84,878.04,2238.72,1848.0,1120.2,0.0,0.0
chacha20_poly1305_encrypt,pad16384,spec,2206.16,4810.0,5276.0,4951.74,440.0,440.66,440.0,0.0,675.22,0.0,0.0,287.82,287.82,172.14,0.0,79.52,46.84,110.06,617.68,0.0,668.3,730.02,2115.82,1763.18,1052.56,0.0,0.0
chacha20_poly1305_encrypt,pad16,spec,2210.54,4810.0,5276.0,4913.24,420.02,421.3,420.02,0.0,654.92,0.0,0.0,233.92,233.92,136.5,0.0,23.44,9.02,40.3,673.76,0.0,723.76,801.42,2185.4,1788.58,1081.36,0.0,0.0
chacha20_poly1305_encrypt,pad2048,spec,2178.08,4810.0,5276.0,4909.32,447.2,448.1,447.2,0.0,658.46,0.0,0.0,242.78,242.78,143.68,0.0,36.96,20.86,81.08,598.26,0.0,652.16,708.62,2134.06,1728.6,1038.68,0.0,0.0
chacha20_poly1305_encrypt,pad24,spec,2223.0,4810.0,5276.0,4993.26,426.22,427.2,426.22,0.0,664.36,0.0,0.0,259.0,259.0,150.52,0.0,50.0,24.52,96.58,646.26,0.0,695.38,778.0,2174.74,1794.48,1081.78,0.0,0.0
chacha20_poly1305_encrypt,pad256,spec,2225.3,4810.0,5276.0,4891.18,441.5,441.58,441.5,0.0,654.6,0.0,0.0,226.18,226.18,133.9,0.0,15.84,6.56,21.08,672.92,0.0,721.5,801.52,2200.74,1783.24,1090.28,0.0,0.0
chacha20_poly1305_encrypt,pad32768,spec,2213.1,4810.0,5276.0,4955.54,441.94,442.82,441.94,0.0,675.26,0.0,0.0,285.64,285.64,172.14,0.0,78.0,47.5,109.38,631.8,0.0,683.24,744.78,2125.3,1767.94,1058.5,0.0,0.0
