benchmark,arm,archive,rep,mean_ticks,n,dit_exit,cycle_src,timer_src,tot_cyc,tot_ins,map_stall,flush,reg_cyc,reg_ins,reg_n,samp_cyc,samp_ins,samp_n,samp_every,pmc_off,reg_drop,pinned
chacha20_poly1305_encrypt,B,base,5,304.455,1000,0,pmc,cntvct,0,0,0,0,316389,0,1025,20017,79248,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,5,258.548,1000,0,pmc,cntvct,0,0,0,0,269714,0,1025,16967,79248,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,6,258.643,1000,0,pmc,cntvct,0,0,0,0,272033,0,1025,17055,80080,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,6,258.909,1000,0,pmc,cntvct,0,0,0,0,269659,0,1025,16911,78993,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,6,268.041,1000,1,pmc,cntvct,0,0,0,0,278417,0,1025,16896,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,6,302.204,1000,0,pmc,cntvct,0,0,0,0,313636,0,1025,20136,79248,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,6,260.072,1000,0,pmc,cntvct,0,0,0,0,270550,0,1025,16960,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,6,534.010,1000,0,pmc,cntvct,0,0,0,0,554677,0,1025,36493,80160,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,7,256.986,1000,0,pmc,cntvct,0,0,0,0,267337,0,1025,16879,78992,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,7,278.999,1000,1,pmc,cntvct,0,0,0,0,289830,0,1025,17733,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,7,299.814,1000,0,pmc,cntvct,0,0,0,0,311231,0,1025,19964,79248,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,7,262.308,1000,0,pmc,cntvct,0,0,0,0,273411,0,1025,16902,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,7,532.740,1000,0,pmc,cntvct,0,0,0,0,553674,0,1025,36256,80160,16,64,1,0,9
