rep,arm,dit,ns,checksum
22,inv_small,0,21658625,17835747444216045878
22,inv_small,1,21575750,17835747444216045878
22,inv_wide,0,21555458,716175243468652111
22,inv_wide,1,21571292,716175243468652111
22,chase_const,0,4349125,2048
22,chase_const,1,17418875,2048
22,chase_perm,0,17416958,665
22,chase_perm,1,17396917,665
23,inv,0,21700583,8584613699922148283
23,inv,1,21756916,8584613699922148283
23,inv_var,0,15228208,8584613699922148283
23,inv_var,1,15286917,8584613699922148283
23,mul,0,10242417,5227797977677173691
23,mul,1,10270625,5227797977677173691
23,inv_small,0,21658834,17835747444216045878
23,inv_small,1,21572417,17835747444216045878
23,inv_wide,0,21562041,716175243468652111
23,inv_wide,1,21567791,716175243468652111
23,chase_const,0,4340500,2048
23,chase_const,1,17403417,2048
23,chase_perm,0,17393208,665
23,chase_perm,1,17392000,665
24,inv,0,21683584,8584613699922148283
24,inv,1,21750084,8584613699922148283
24,inv_var,0,15241291,8584613699922148283
24,inv_var,1,15275875,8584613699922148283
24,mul,0,10451666,5227797977677173691
24,mul,1,10290750,5227797977677173691
24,inv_small,0,21591750,17835747444216045878
24,inv_small,1,21576833,17835747444216045878
24,inv_wide,0,21574709,716175243468652111
24,inv_wide,1,21604625,716175243468652111
24,chase_const,0,4354541,2048
24,chase_const,1,17416000,2048
24,chase_perm,0,17407250,665
24,chase_perm,1,17404667,665
25,inv,0,21710041,8584613699922148283
25,inv,1,21823042,8584613699922148283
25,inv_var,0,15255583,8584613699922148283
25,inv_var,1,15290750,8584613699922148283
25,mul,0,10234958,5227797977677173691
25,mul,1,10292959,5227797977677173691
25,inv_small,0,21702291,17835747444216045878
25,inv_small,1,21574166,17835747444216045878
25,inv_wide,0,21570959,716175243468652111
25,inv_wide,1,21609166,716175243468652111
25,chase_const,0,4359125,2048
25,chase_const,1,17393500,2048
25,chase_perm,0,17416834,665
25,chase_perm,1,17396958,665
26,inv,0,21698750,8584613699922148283
26,inv,1,21768917,8584613699922148283
26,inv_var,0,15261875,8584613699922148283
26,inv_var,1,15282625,8584613699922148283
26,mul,0,10225708,5227797977677173691
26,mul,1,10271042,5227797977677173691
26,inv_small,0,21579375,17835747444216045878
26,inv_small,1,21609792,17835747444216045878
26,inv_wide,0,21585334,716175243468652111
26,inv_wide,1,21599125,716175243468652111
26,chase_const,0,4357292,2048
26,chase_const,1,17390375,2048
26,chase_perm,0,17384625,665
26,chase_perm,1,17396209,665
27,inv,0,21735167,8584613699922148283
27,inv,1,21758833,8584613699922148283
27,inv_var,0,15243750,8584613699922148283
27,inv_var,1,15289917,8584613699922148283
27,mul,0,10221375,5227797977677173691
27,mul,1,10293792,5227797977677173691
27,inv_small,0,21575959,17835747444216045878
27,inv_small,1,21623083,17835747444216045878
27,inv_wide,0,21638459,716175243468652111
27,inv_wide,1,21602375,716175243468652111
27,chase_const,0,4353208,2048
27,chase_const,1,17394875,2048
27,chase_perm,0,17394375,665
27,chase_perm,1,17408125,665
28,inv,0,21699083,8584613699922148283
28,inv,1,21784500,8584613699922148283
28,inv_var,0,15237917,8584613699922148283
28,inv_var,1,15271459,8584613699922148283
28,mul,0,10220041,5227797977677173691
28,mul,1,10254959,5227797977677173691
28,inv_small,0,21578042,17835747444216045878
28,inv_small,1,21751250,17835747444216045878
28,inv_wide,0,21580292,716175243468652111
28,inv_wide,1,21572125,716175243468652111
28,chase_const,0,4353917,2048
28,chase_const,1,17403083,2048
28,chase_perm,0,17385500,665
28,chase_perm,1,17454167,665
29,inv,0,21729917,8584613699922148283
29,inv,1,21810625,8584613699922148283
29,inv_var,0,15254375,8584613699922148283
29,inv_var,1,15280167,8584613699922148283
29,mul,0,10238791,5227797977677173691
29,mul,1,10280667,5227797977677173691
29,inv_small,0,21589791,17835747444216045878
29,inv_small,1,21632667,17835747444216045878
29,inv_wide,0,21606084,716175243468652111
29,inv_wide,1,21689084,716175243468652111
29,chase_const,0,4348042,2048
29,chase_const,1,17480916,2048
29,chase_perm,0,17415000,665
29,chase_perm,1,17430959,665
