rep,arm,dit,ns,checksum
26,chase_perm,0,17481959,665
26,chase_perm,1,17509417,665
27,inv,0,28046250,8584613699922148283
27,inv,1,34452792,8584613699922148283
27,inv_var,0,15276875,8584613699922148283
27,inv_var,1,15284209,8584613699922148283
27,mul,0,10282792,5227797977677173691
27,mul,1,10283208,5227797977677173691
27,inv_small,0,27757916,17835747444216045878
27,inv_small,1,34179750,17835747444216045878
27,inv_wide,0,27729167,716175243468652111
27,inv_wide,1,34209542,716175243468652111
27,chase_const,0,4369458,2048
27,chase_const,1,17392208,2048
27,chase_perm,0,17384333,665
27,chase_perm,1,17378750,665
28,inv,0,28879500,8584613699922148283
28,inv,1,34550167,8584613699922148283
28,inv_var,0,15371333,8584613699922148283
28,inv_var,1,15302000,8584613699922148283
28,mul,0,10210833,5227797977677173691
28,mul,1,10282458,5227797977677173691
28,inv_small,0,27747833,17835747444216045878
28,inv_small,1,34229625,17835747444216045878
28,inv_wide,0,27745083,716175243468652111
28,inv_wide,1,34140917,716175243468652111
28,chase_const,0,4340875,2048
28,chase_const,1,17409250,2048
28,chase_perm,0,17391084,665
28,chase_perm,1,17420375,665
29,inv,0,27911417,8584613699922148283
29,inv,1,34366250,8584613699922148283
29,inv_var,0,15420584,8584613699922148283
29,inv_var,1,15313292,8584613699922148283
29,mul,0,10240875,5227797977677173691
29,mul,1,10291125,5227797977677173691
29,inv_small,0,27731000,17835747444216045878
29,inv_small,1,34281792,17835747444216045878
29,inv_wide,0,27767833,716175243468652111
29,inv_wide,1,34140500,716175243468652111
29,chase_const,0,4365583,2048
29,chase_const,1,17386750,2048
29,chase_perm,0,17382791,665
29,chase_perm,1,17404750,665
