benchmark,arm,archive,rep,mean_ticks,n,dit_exit,cycle_src,timer_src,tot_cyc,tot_ins,map_stall,flush,reg_cyc,reg_ins,reg_n,samp_cyc,samp_ins,samp_n,samp_every,pmc_off,reg_drop
ed25519,Z,taintnop,15,7542.494,1000,0,kperf,cntvct,172985681,754114684,74501725,5845,38542190,167321631,1025,0,0,0,64,0,0
ed25519,A,base,15,7539.813,1000,0,kperf,cntvct,172139714,750083816,74658919,5678,38398756,167213890,1025,0,0,0,64,0,0
ed25519,C,base,15,7559.418,1000,1,kperf,cntvct,172450504,750163349,75356876,5171,38491288,167202411,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,1,231.602,1000,0,kperf,cntvct,12132158,47556727,1541401,5267,3739591,18693078,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,1,231.668,1000,1,kperf,cntvct,11661972,47346091,1657855,5157,3816206,18653459,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,1,270.845,1000,0,kperf,cntvct,12054071,47546085,1701351,11345,3905565,18709688,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,1,231.510,1000,0,kperf,cntvct,12609470,47604102,1531491,5171,3877258,18707797,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,1,577.177,1000,0,kperf,cntvct,15779645,47742582,1908864,70869,5477564,18806143,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,1,234.700,1000,0,kperf,cntvct,12359770,47745714,1520838,5173,3799575,18808349,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,2,235.873,1000,1,kperf,cntvct,11738125,47376814,1655812,5156,3870143,18662529,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,2,272.690,1000,0,kperf,cntvct,11834602,47381480,1623383,11317,3868870,18669269,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,2,235.492,1000,0,kperf,cntvct,12075560,47433247,1576003,5172,3735451,18667954,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,2,573.484,1000,0,kperf,cntvct,15401448,47542780,1901405,70769,5333206,18732393,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,2,232.583,1000,0,kperf,cntvct,12074397,47534634,1525919,5164,3791929,18729968,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,2,230.199,1000,0,kperf,cntvct,12056963,47389389,1558888,5202,3730560,18651844,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,3,273.106,1000,0,kperf,cntvct,11877182,47395356,1669620,11344,3887991,18666884,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,3,231.355,1000,0,kperf,cntvct,12090347,47435638,1542736,5161,3727283,18665954,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,3,574.809,1000,0,kperf,cntvct,15341367,47545036,1901759,70765,5311897,18731873,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,3,234.213,1000,0,kperf,cntvct,12174947,47537113,1532803,5182,3825973,18729234,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,3,230.821,1000,0,kperf,cntvct,12132405,47369757,1569879,5168,3757677,18641894,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,3,231.861,1000,1,kperf,cntvct,11573456,47335601,1659260,5155,3811762,18640744,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,4,233.021,1000,0,kperf,cntvct,12110842,47441458,1580493,5165,3757755,18671219,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,4,576.818,1000,0,kperf,cntvct,15369846,47549703,1918916,70770,5320365,18740393,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,4,233.381,1000,0,kperf,cntvct,11993643,47542985,1521032,5163,3737737,18728399,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,4,231.449,1000,0,kperf,cntvct,12172290,47389697,1541720,5164,3784593,18653174,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,4,232.227,1000,1,kperf,cntvct,11543072,47336809,1640339,5155,3759199,18641664,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,4,274.582,1000,0,kperf,cntvct,11870230,47349799,1693474,11326,3891429,18656644,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,5,573.671,1000,0,kperf,cntvct,15404008,47564931,1904251,70764,5275946,18741063,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,5,234.023,1000,0,kperf,cntvct,11989380,47536513,1540322,5172,3723776,18734494,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,5,232.551,1000,0,kperf,cntvct,12084316,47386235,1562365,5166,3729903,18650904,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,5,233.201,1000,1,kperf,cntvct,11611022,47355706,1675800,5155,3781688,18653744,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,5,274.983,1000,0,kperf,cntvct,11936797,47385671,1677460,11317,3914472,18674264,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,5,233.685,1000,0,kperf,cntvct,12251715,47440293,1580480,5171,3788021,18667329,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,6,232.918,1000,0,kperf,cntvct,12191633,47529970,1544607,5166,3754305,18724244,1025,0,0,0,64,0,0
